word,meaning,short definition,long definition,url
absolve,grant remission of a sin to,"To be absolved is to be let off the hook, to be set free from a certain obligation or to be forgiven for a wrongdoing. The Church may absolve you of your sins, but that won't absolve you of the need to attend mass.","The Latin absolvere, which means ""to set free,"" is the root of the word absolve. In the religious sense, to be absolved means to be truly forgiven in the eyes of the Lord, which must feel like being set free. In a more mundane everyday usage, absolve can be used to describe being let off the hook. For instance, putting a campaign poster in your window does not absolve you of the responsibility to vote.",https://www.vocabulary.com/dictionary/absolve
abstinent,self-restraining,"Someone who's abstinent is moderate and restrained, especially when it comes to consuming food and drink. A person who quits drinking alcohol completely is abstinent.","It's most common to use the adjective abstinent to describe someone who has given up using alcohol or other intoxicants, but you can also use it to talk about a person who's self-restrained in other ways. You might say, ""No dessert for me — I'm trying to be abstinent this month!"" Abstinent is an Old French word meaning ""moderate"" or ""modest,"" from the Latin abstinere, ""to refrain from.""",https://www.vocabulary.com/dictionary/abstinent
abstract,existing only in the mind,Use the adjective abstract for something that is not a material object or is general and not based on specific examples.,"Abstract is from a Latin word meaning ""pulled away, detached,"" and the basic idea is of something detached from physical, or concrete, reality. It is frequently used of ideas, meaning that they don't have a clear applicability to real life, and of art, meaning that it doesn't pictorially represent reality. It is also used as a noun, especially in the phrase ""in the abstract"" (a joke has a person laying down a new sidewalk saying ""I like little boys in the abstract, but not in the concrete""), and as a verb (accented on the second syllable), meaning ""to remove.""",https://www.vocabulary.com/dictionary/abstract
abstruse,difficult to understand,Abstruse things are difficult to understand because they are so deep and intellectually challenging. It might be hard to figure out how a toilet flushes but the technology that goes into making the Internet function is abstruse.,"The Latin roots of the word abstruse are about concealing or hiding something, which is a good way to remember the meaning of this word. It is useful when describing something that is overly confusing, or if someone is deliberately making a story or a situation more complicated than necessary. It sounds and looks like obtuse, but abstruse is almost its opposite. Obtuse is dull or lacking a sharpness of intellect. While Abstruse is president of the chess club, Obtuse is hanging out by the parking lot smoking cigarettes.",https://www.vocabulary.com/dictionary/abstruse
abysmal,so deep as to be immeasurable,"If you want to say something is really, really bad — then call it abysmal. If one person shows up to your party, well then that is an abysmal turnout. The 1958 Ford Edsel? An abysmal failure.","When someone describes the hole you just dug as abysmal, you may not know whether to take it as positive or negative feedback. That's because starting in the 1650s, abysmal simply meant “resembling an abyss in depth.” By that definition you've just received a compliment on your deep digging skills. But since the early twentieth century, abysmal has been more commonly used to identify something as ""extremely bad."" So it's more likely that your hole has just been insulted.",https://www.vocabulary.com/dictionary/abysmal
accolade,a tangible symbol signifying approval or distinction,"A knight being honored with the tap of a sword-blade was the earliest form of accolade. Today, an accolade is more than a way to bestow knighthood, it is a form of praise or an award.","In the early 17th century, the French accoler meant to ""embrace the neck,"" which was done as part of a knighthood ceremony. By the 19th century, accolade came to mean ""award."" A person who achieves a goal in research or service may receive an official paper certificate or trophy, an accolade of achievement, while a performer or speaker might get an accolade in the form of applause from the audience. Rarely does either of these types of accolade involve a sword.",https://www.vocabulary.com/dictionary/accolade
accost,approach and speak to someone aggressively or insistently,To accost is to approach someone aggressively or confront them in an inappropriate way.,"Accost describes a confrontation — one that's often aggressive in nature. You're likely to be accosted by angry picketers if you wear your finest fur coat to a march against animal cruelty. The paparazzi make their living by accosting celebrities, pushing in close to snap candid photos as the stars leave their limos.",https://www.vocabulary.com/dictionary/accost
acerbic,sour or bitter in taste,"If you say something acerbic, or harshly bitter, to someone, it can leave a bitter taste in your own mouth that lingers, and the acerbic, or acidic, words can eat away at the person on the receiving end too.","It is fitting that the first part of acerbic sounds like the first part of ""acid,"" because the Latin source of acerbic is acerbus, ""sour-tasting."" Acerbic speech is like acid, because it is sour and corrodes, or weakens, relationships. There are ways to use sharp words for humor, and some comedians are known for their ""acerbic wit,"" but just as you would take safety precautions in using acid in a science lab, you should be cautious about using acerbic language in conversation.",https://www.vocabulary.com/dictionary/acerbic
acquiesce,agree or express agreement,"To acquiesce is to agree to something or to give in. If your kid sister is refusing to hand over the television remote, you hope she acquiesces before your favorite show comes on.","The verb acquiesce comes from the Latin word acquiescere, meaning “to rest.” If you “rest” or become passive in the face of something to which you object, you are giving tacit agreement. In other words, you acquiesce. If you want to go hiking with your family and your children are not interested, it will be a very tough day on the trail until they acquiesce.",https://www.vocabulary.com/dictionary/acquiesce
acrid,"strong and sharp, as a taste or smell","Acrid is almost always used to describe a smell, and it ain't a pretty one. Acrid is the nasty sting that you feel in your nose when you walk by a building that just burned down — it's sulfur mixed with smoke.","You can also use acrid to describe someone's tone or general demeanor when they are being nasty. Someone about to do something evil might first give an acrid sneer, or speak in a chillingly acrid tone of voice, or even shudder as if they'd just bit into something with an acrid taste.",https://www.vocabulary.com/dictionary/acrid
acrimonious,marked by strong resentment or cynicism,"Locked in a mean-spirited, bitter argument? That's an acrimonious situation that might result in fists flying unless you and your opponent can cool down.","If you're familiar with the adjective acrid, which means ""having a strongly unpleasant taste or smell,"" you might guess that acrimonious probably refers to something unpleasant, too. And you'd be right. Until the mid-nineteenth century, acrimonious meant the same thing as acrid. But while acrid is still most commonly used in a literal sense (as in ""an acrid odor""), acrimonious is now used to describe things like angry and bitter speeches or debates. Both words come to English from the Latin word acer, meaning ""sharp."" Keep sharp objects locked up if a showdown gets too acrimonious.",https://www.vocabulary.com/dictionary/acrimonious
acumen,shrewdness shown by keen insight,"If you have acumen, you are very sharp at what you do. You hope your accountant and your surgeon are both known for their acumen.","The noun acumen comes from the Latin word acumen, meaning “a point,” or “sting.” If you are able to make pointed decisions, if you have a sharp intellect, if you make good strategic moves, if you are successful in your field, or if your business instincts are spot-on, you have acumen. Even if you inherit an entire wholesale furniture dynasty from your grandfather, you could end up with nothing if you don’t have his business acumen.",https://www.vocabulary.com/dictionary/acumen
acute,ending in a sharp point,Use the adjective acute for when you want to describe something as sharp or extremely serious.,"The word acute is one word; it's not two words, nor does it have anything to do with something small, cuddly, and pretty! Acute really means ""sharp"" or ""severe"" or ""intense"" and modifies certain kinds of angles in geometry or describes a certain kind of illness of short duration. The English word apparently entered the language during the sixteenth century from the Latin root acutus, which means ""sharp"" or ""pointed.""",https://www.vocabulary.com/dictionary/acute
adamant,"impervious to pleas, persuasion, requests, or reason","If you stubbornly refuse to change your mind about something, you are adamant about it.","This word's story begins in ancient Greece, where philosophers spoke about a legendary unbreakable stone or metal they called adamas (literally, ""invincible""). In English, people began to use the word to refer to something that cannot be altered, and then in the twentieth century — after adamant had been in English for about a thousand years — it came to be used as an adjective to mean ""unyielding as stone."" If you're adamant about something, no amount of persuasion is going to convince you otherwise.",https://www.vocabulary.com/dictionary/adamant
address,speak to,"When you are a student and you want to address your teacher, it's generally safer to call her Ms. and not address her by her first name, Esmeralda.","Address is a word that's long been associated with correspondence — the street number, city, state, and postal code that must be on the front of any envelope if it's going to arrive at its destination. In the digital age, an address has also come to mean the location where you might e-mail your friend pictures of your dog dressed up in a birthday hat. If you wanted to tell that friend about your dog's birthday party in person, you might address her directly. Address to describe a way of speaking is usually reserved for more formal occasions, such as when the President addresses the nation.",https://www.vocabulary.com/dictionary/address
adherent,someone who believes and helps to spread a doctrine,"Because an adherent is usually something or someone that sticks to something or someone else, it's logical that it can also mean a person who believes in and supports a certain philosophy or leader.","An adherent to a cause can be called a disciple, one who believes and tries to get others to believe. It can also refer to a material that sticks to other things. While the first meaning comes from the 15th century, the reference to a sticky substance didn't emerge until the 16th. In all cases, the word comes from the Latin root haerēre ""stick,"" connected to the prefix ad- ""to,"" making the word mean ""to stick to.""",https://www.vocabulary.com/dictionary/adherent
admonish,warn strongly; put on guard,"To admonish is to scold. If you want to show someone you're not happy with his behavior, admonish him.","Coming to English through Old French from the Latin admonere ""to advise, remind,"" admonish is always used with an eye on improving someone's behavior. The exact meaning of this formal verb varies in intensity depending generally on who is being corrected. If a child or subordinate is being admonished, it means ""scold"" or ""rebuke"" whereas if someone admonishes a person with equal standing, warn or advise are closer synonyms.",https://www.vocabulary.com/dictionary/admonish
adroit,quick or skillful or adept in action or thought,Someone who is adroit is clever and skillful. An adroit leader will be able to persuade people to go with his ideas. An adroit sculptor can turn a lump of clay into an object of great beauty.,"If you've ever studied French you know that droit means ""right,"" both as in ""right of free speech"" and as in ""left and right,"" and à droit means both ""turn right"" and ""properly."" Once English people borrowed à droit, they changed the meaning slightly, from doing something ""properly"" to ""doing something well."" You may have heard the expression ""surprisingly adroit,"" as in, ""For a guy whose wife does all the cooking, he is surprisingly adroit in the kitchen.""",https://www.vocabulary.com/dictionary/adroit
adulation,exaggerated flattery or praise,If you've ever been to a pop concert filled with screaming fans you've probably been exposed to adulation — praise so over-the-top it's almost embarrassing.,"The Latin word adulatio means ""flattery."" It's made up of the roots ad (""to"") and ulos (""tail""), and if you're thinking of a dog wagging its tail to and fro to get a treat from its owner, you're on the right track. As anyone who's seen a crazed fan drooling over a celebrity knows, adulation is one of the more doglike of human behaviors.",https://www.vocabulary.com/dictionary/adulation
adulterate,make impure by adding a foreign or inferior substance,"If you adulterate something, you mess it up. You may not want to adulterate the beauty of freshly fallen snow by shoveling it, but how else are you going to get to work?","The verb adulterate comes from the Latin word adulterare, which means “to falsify,” or “to corrupt.” Whenever something original, pure, fresh, or wholesome is marred, polluted, defaced, or otherwise made inferior, it has been adulterated. Your grandfather may, for instance, believe that bartenders adulterate the name “Martini” by applying it to combinations of vodka, chocolate or anything other than a mixture of five parts gin to one part dry vermouth, on the rocks, with a twist.",https://www.vocabulary.com/dictionary/adulterate
adverse,in an opposing direction,"Steer clear of anything adverse. If it's adverse, it's working against you — like adverse weather conditions or the adverse effects of eating too much sugar.","Coming from the Latin adversus meaning ""turned against,"" adverse is an adjective describing a factor that seems to work against or actively harm something. Think of the related word, adversary, which means enemy or opponent, so that if something is adverse, it acts as if it were the enemy. If you have an adverse reaction to an antibiotic, your doctor will need to prescribe a new medication.",https://www.vocabulary.com/dictionary/adverse
aesthetic,characterized by an appreciation of beauty or good taste,The adjective aesthetic comes in handy when the subject at hand is beauty or the arts. A velvet painting of dogs playing poker might have minimal aesthetic appeal.,"Aesthetic, from a Greek word meaning ""perception,"" comes to us from German philosophers who used it for a theory of the beautiful. From this technical sense, it soon came to refer to good taste and to artistry in general; if something has ""aesthetic value,"" it has value as a work of art (even if nobody will pay much for it). It does not, however, refer to the objects themselves; do not talk about an ""aesthetic painting.""",https://www.vocabulary.com/dictionary/aesthetic
affable,diffusing warmth and friendliness,"Affable means friendly, pleasant, and easy to talk to. An affable host offers you something to drink and makes you feel at home.","The adjective affable entered English by way of the Latin word affābilis, which means ""kind, friendly."" If you’re stuck on an airplane next to someone affable, the trip won’t be so bad because that person will be easy to chat with but won’t talk your ear off. Synonyms of affable also refer to a pleasant and mild friendliness, such as genial, hospitable, and gracious. Affable people generally seem like they’re in a good mood and are happy to see you.",https://www.vocabulary.com/dictionary/affable
affectation,a deliberate pretense or exaggerated display,The guy at your local coffee shop who's never left the state but speaks as though he's lived in London all his life? His British accent is an affectation.,"Never confuse affectation with affection — which means “love” or “tenderness.” While affection might not always be genuine, affectation is never the real thing. In fact, affectation is all about faking it. Do you believe the politician cares about poor people, or do you think his concern is an affectation?",https://www.vocabulary.com/dictionary/affectation
affinity,a natural attraction or feeling of kinship,"If you get along with someone very well, you have an affinity with them. Sometimes opposites attract, so you might feel a strange affinity to someone who is seemingly very different from you.","When you are attracted to someone or something a great deal, we say that you have an affinity, a natural connection. Likewise, scientists use affinity to describe organisms that are alike or resemble each other. Interestingly, the Middle English word, affinite, originally applied to people who were connected or related by marriage, rather than by biology.",https://www.vocabulary.com/dictionary/affinity
affluent,having an abundant supply of money or possessions of value,"You know you're driving through an affluent neighborhood when you see large houses, perfect landscaping, and expensive cars. Use affluent to describe wealthy people or areas.","In Middle English, affluent meant ""abundant, flowing,"" from Old French, from Latin affluēns, from affluere ""to abound in,"" from the prefix ad- ""to, at"" plus fluere ""to flow."" The meaning of ""abundant, flowing"" is still seen in phrases such as ""affluent prose."" But mostly, when you use the word affluent, the thing understood to be flowing is cash.",https://www.vocabulary.com/dictionary/affluent
agenda,"a list of matters to be taken up, as at a meeting","An agenda is a list of things to do. If you're going to attend a meeting with a long agenda, you'll want to take your coffee mug along.","The word agenda is the plural for of the Latin word agendum, which literally means ""something to be done."" The noun retains this meaning because an agenda is a plan — organized by time — of events or things to do. You might have a meeting, a lunch date, and a doctor's appointment on your agenda for the day. And when you run for office, you better have a political agenda — or a plan for what you want to get done if elected.",https://www.vocabulary.com/dictionary/agenda
aggregate,a sum total of many heterogeneous things taken together,"To aggregate is to collect many units into one. If you're writing a novel, you might create a character who is an aggregate of five or six real people.","Aggregate comes from the Latin verb aggregare, which means to add to. As a verb it means to collect into a mass or whole. You can also use it as an adjective, as in your aggregate sales for February, March and April. It can also be a noun. The mountain of foam in bubble bath is an aggregate of small bubbles. If you plan to work in economics or business, expect to see the word aggregate quite a lot.",https://www.vocabulary.com/dictionary/aggregate
agnostic,a person who claims the existence of God is unknowable,"If someone believes they cannot know whether or not God exists, label them an agnostic. A bad joke: Did you hear about the dyslexic agnostic insomniac? He stayed up all night wondering if there was a dog.","In 1869, English biologist T.H. Huxley coined this noun referring to someone whose religious beliefs lie somewhere in between those of a theist and an atheist — that is, a believer and a disbeliever in God. Huxley combined the Greek prefix a-, meaning ""not,"" with gnostos, ""known."" It can be used as a noun or adjective, and it can also refer to uncertainty about questions other than the existence of God: ""Some philosophers remain agnostic as to whether people have free will.""",https://www.vocabulary.com/dictionary/agnostic
agrarian,relating to rural matters,"Use the word agrarian to describe something related to fields, farming, or rural matters. The school calendar is still based on the old agrarian calendar, when children needed to be off during the summer to help with planting and harvesting.","The adjective agrarian comes from the Latin root word ager, meaning a field, but the word's meaning has expanded to include anything rural or farm-related. ""The senator, who represented mostly agrarian communities, spent most of her time working on issues of interest to farmers. She lobbied to stabilize the price of corn and milk, fought for subsidies for working farms, and presented ribbons to the prized pig at the county fair.""",https://www.vocabulary.com/dictionary/agrarian
alacrity,liveliness and eagerness,"Someone with alacrity shows cheerful willingness and eager behavior, like a kid whose mother has told him he can buy anything in a candy store.","While the noun alacrity normally refers to someone's peppy behavior, it can also describe a certain mood or tempo of a musical composition, indicating how the music should be played. Alacrity comes from the Latin alacritas, and the Italian musical term allegro is a near relation.",https://www.vocabulary.com/dictionary/alacrity
allege,report or maintain,"If you accuse someone of committing a crime but the proof of the wrongdoing isn't yet found, use the verb allege. You might allege that your sister broke a vase, just because no one else was home when you heard the crash.","If you ever watch news programs, you often hear the verb allege. A reporter might say that detectives allege that a certain person, who is now being held without bail, set a fire. This can be confusing: If the person is in jail, then he or she must have set that fire, right? In reality, the person is a suspect, awaiting trial. In our country, people are assumed innocent until proven guilty in a court of law. That's why we used allege until we know for sure.",https://www.vocabulary.com/dictionary/allege
alleviate,"provide physical relief, as from pain","Do all these words make your head ache? If so, take an aspirin to alleviate, or relieve, your pain.","The verb, alleviate, stems from the Latin root, levis ""light"" and is related to modern English words such as elevator and levitate — both words implying a lightening of one's load. Alleviate also has this sense of lightening a burden such as physical pain or emotional duress. You can take medicine to alleviate symptoms or do exercise to alleviate stress. Or if you want a bigger challenge: try alleviating traffic congestion or world hunger.",https://www.vocabulary.com/dictionary/alleviate
allocate,distribute according to a plan or set apart for a purpose,"To allocate is to set aside a certain amount of money for an expense. You usually hear about the government allocating funds for education or the military, but you may personally allocate some of your allowance to buying comic books.","Aside from money, a common thing to allocate is time: ""The old woman in the shoe had so many children she could only allocate 2.7 minutes per day to talk to each one individually."" Resources are also often allocated. Teachers, for example, are continuously allocating their year's supply of resources so they don't run out of glue sticks and paper before the end of the school year.",https://www.vocabulary.com/dictionary/allocate
alloy,a mixture containing two or more metallic elements,"You may have heard of aluminum alloy on a car. What that means is that there is another metal mixed in with the aluminum, to save money and/or to strengthen the wheels. The wheels are an alloy (a mix), rather than pure.","In addition to indicating a dilution of one metal with another, alloy can refer to the dilution of a feeling or a quality. Knowing that you look awesome in your Halloween costume would be an alloy to the embarrassment of showing up to a party where you are the only one in a costume.",https://www.vocabulary.com/dictionary/alloy
allusion,passing reference or indirect mention,"That little nod to a Dylan Thomas poem that you sneaked into your PowerPoint presentation? That was an allusion, a quick reference to something that your audience will have to already know in order to ""get.""","An allusion often references a famous work of art or literature, or to something from your own life. For example, you might say, ""I obviously am no expert at love"" — an allusion to your failed relationships. The main thing to remember is that an allusion is a brief hint or a quick mention. It’s meant to bring to mind a particular subject, but it always avoids getting into it in great depth.",https://www.vocabulary.com/dictionary/allusion
aloof,remote in manner,"Someone who's aloof isn't warm and friendly, instead being distant and reserved. That emotionally cold and detached fellow who keeps to himself, drinking espresso and reading French philosophy, would best be described as aloof.","In Middle English, aloof was originally a nautical term; the loof (now spelled luff) is the windward side of a ship. Smart sailors wanting to avoid a hazard on the leeward side would give the order, ""A loof!"" From this command we get the idea of steering clear of something (or someone). In modern usage the word has taken on a negative connotation: an aloof person is often considered cold or snobby.",https://www.vocabulary.com/dictionary/aloof
altruism,the quality of unselfish concern for the welfare of others,"If you see a stranger getting beaten up on the playground and you rush in to rescue them, you have done something unselfish to help another person, otherwise known as an act of altruism.","Use the noun altruism to refer to feelings or actions that show an unselfish concern for other people. In science, altruism refers to animal behavior that could be harmful to the animal itself but that contributes to the survival of the animal group. It's related to the adjective altruistic. Someone known for their altruism is an altruist.",https://www.vocabulary.com/dictionary/altruism
ambience,the atmosphere of an environment,"Ambience is another word for atmosphere in the sense of the mood a place or setting has. If an expensive restaurant has soft lighting and peaceful music, it has a pleasant, soothing ambience.","Ambience is one of those words that we've out and out stolen from French. In French, the word meaning the same thing is, you guessed it, ambience. This is a word you're going to want to know if you have any interest in restaurant reviews — they always want to talk about the ambience. As a funny quirk, the word has a positive feel to it; it can be used to mean nice atmosphere without even using the word, nice, as in, ""Hey, this place really has ambience.""",https://www.vocabulary.com/dictionary/ambience
ambiguous,having more than one possible meaning,"Look to the adjective ambiguous when you need to describe something that's open to more than one interpretation, like the headline ""Squad helps dog bite victim.""","Newspaper headlines can be unintentionally funny when they're ambiguous. In ""Squad helps dog bite victim,"" is the squad helping a victim of a dog bite or helping a dog bite a victim? The ambi- prefix means ""both ways,"" while the guous part is from the Latin verb agere, ""to lead or drive."" Thus an ambiguous sentence or situation drives us in two different directions at once. The accent is on the second syllable, ""big,"" which you can remember since something that's ambiguous can lead to big misunderstandings.",https://www.vocabulary.com/dictionary/ambiguous
ambivalent,uncertain or unable to decide about what course to follow,"If you can't decide how you feel about something, declare yourself ambivalent about it.","Ambivalent means ""having mixed feelings about something."" A Swiss psychologist named Eugen Bleuler coined the German word Ambivalenz in the early twentieth century, and it was soon imported into English. Bleuler combined the Latin prefix ambi-, meaning ""both,"" with valentia, ""strength."" So etymologically speaking, if you're ambivalent you're being pulled by two equally strong things — but in practice, ambivalence often arises from caring very little either way. You might feel ambivalent about your lunch options if you have to choose between a murky stew and flavorless tofu.",https://www.vocabulary.com/dictionary/ambivalent
ameliorate,make better,To ameliorate is to step in and make a bad situation better. You could try introducing a second lollipop to ameliorate a battle between two toddlers over a single lollipop.,"The verb ameliorate comes from the Latin word meliorare, meaning “improve.” Food drives can ameliorate hunger. An air conditioner can ameliorate the discomfort of a stiflingly hot summer day. A sympathy card can ameliorate grief. Family therapy can ameliorate severe sibling rivalry. Anything that can lift a burden or make something better can ameliorate.",https://www.vocabulary.com/dictionary/ameliorate
amenable,disposed or willing to comply,"If your friends want to try sky diving and you're amenable to the idea, sounds like you're going to be jumping out of a plane. If a person or thing is amenable to something, they are ready, willing, or responsive.","Note that amenable is often followed by the preposition to, which makes amenable mean ""able to be controlled or affected by something,"" as in: ""They are usually amenable to our wishes"" or ""Her heart condition is not amenable to treatment."" An amenable personality is open to influence or control and is willing to agree or yield.",https://www.vocabulary.com/dictionary/amenable
amenity,pleasantness resulting from agreeable conditions,"Like built-in GPS, seat warmers and four-wheel drive, an amenity is a feature that contributes to comfort or value. Or in another sense, it's the overall pleasantness that results from all those cool features.","Declared the American novelist Edith Wharton, “I despair of the Republic! Such dreariness, such whining sallow women, such utter absence of the amenities, such crass food, crass manners, crass landscape! What a horror it is for a whole nation to be developing without the sense of beauty, and eating bananas for breakfast.” As you can see, people throughout time have gotten cranky when they’ve felt their amenities to be lacking.",https://www.vocabulary.com/dictionary/amenity
amiable,diffusing warmth and friendliness,"A friendly, pleasant person could be described as amiable. Airline flight attendants tend to be amiable. The people monitoring the school's cafeteria? Maybe not.","An amiable person is good-natured and easy to get along with. Add one letter and you get amicable, a word with a common ancestor (Latin amicabilis) and a similar meaning. But while amiable refers to friendly people, amicable refers to friendly relations between them; two amiable people who no longer want to be married to one another might have an amicable divorce.",https://www.vocabulary.com/dictionary/amiable
amnesty,a warrant granting release from punishment for an offense,"Amnesty can mean a pardon for a wrongdoing, or it can also signal a government's willingness to overlook something.","Amnesty sounds a little like ""amnesia,"" and that's because in its more specific sense amnesty means ""forgetting."" The government will essentially forget about whatever crime was committed, or whatever horrible things were said. As part of a truce, amnesty can be granted to opposition forces in civil disputes. Amnesty to illegal aliens means the government will deliberately overlook their illegal entry to the country. There can also be a period of amnesty when people can turn in something that they would otherwise get in trouble for. ""The city offered a period of amnesty for everyone to turn in illegal guns.""",https://www.vocabulary.com/dictionary/amnesty
amoralism,the doctrine that moral distinctions are invalid,,,https://www.vocabulary.com/dictionary/amoralism
amorous,inclined toward or displaying love,"If you are shot with a mythological arrow by Cupid, the Greek god of love, you may find yourself making amorous advances on the next person you meet. Amorous means having strong feelings of love, especially sexual love.","Amorous words or glances show love or sexual desire. This adjective is a Middle English word, borrowed from Middle French, from Medieval Latin amorosus, from Latin amor ""love."" A more literary and less common synonym is amatory.",https://www.vocabulary.com/dictionary/amorous
amorphous,having no definite form or distinct shape,"Amorphous means without a clearly defined form, like the moon's amorphous reflection in a lake. Figuratively, something amorphous lacks focus, be it a work of art, a political movement, or even someone's life plans.","The Greek roots of this word are clear: morphē means ""form,"" and a- means ""lacking or without."" When creative works or ideas are described as amorphous, it means they suffer from a lack of organization. An amorphous object lacks a well-defined outline or structure, like amorphous jellyfish drifting on the surface of the ocean. And scientifically, this adjective simply describes something without a crystalline form, like an amorphous metal or amorphous ice.",https://www.vocabulary.com/dictionary/amorphous
anachronism,locating something at a time when it couldn't have existed,"An anachronism is something that doesn't fit its time period, like if you say you'll ""dial"" your smartphone.","Anachronism comes from the Greek roots ana- which means ""against"" and chron- which means ""time."" Together they represent a situation in which something happens that should not because it belongs to another time period. You see anachronisms all the time in the movies — they occur when you see a jet fly over a Civil War battle! Or knights jousting over a maiden during the time of Shakespeare!",https://www.vocabulary.com/dictionary/anachronism
analogy,drawing a comparison in order to show a similarity,"When you draw an analogy between two things, you compare them for the purpose of explanation. The movie character Forrest Gump made a silly analogy famous: ""Life is like a box of chocolates.""","Some standardized tests still have ""analogy questions,"" which are given in this format: A : B :: C : ___ (read ""A is to B as C is to what?""). This is a more formalized version of something we do every day: compare one thing to another. It's a useful way of speaking — if a scientist explains that the earth's forests function as its lungs, we understand the analogy to mean that both trees and lungs take in important elements from the air. But when Forrest Gump says life is like a box of chocolates because you never know what you're going to get, that's a pretty brainless analogy.",https://www.vocabulary.com/dictionary/analogy
